sweep_id,sweep_idx,timestamp,timestamp_str,sweep_type,zone_idx,zone_level,zone_level_str,sweep_quality_score,zone_state_at_sweep,zone_id,zone_top,zone_bottom,sweep_low,reversal_price,reversal_distance,candle_body,candle_total_range,wick_ratio,lower_wick,upper_wick,pin_bar_bull,pin_bar_bear,volume,volume_spike,volume_zscore,vol_surge,reversal_pattern,mss_confirmed,days_old_at_sweep,sweep_freshness,sweep_maturity,midas_filtered,zone_touch_count,zone_sweep_count,avg_volume,volume_node_score,avg_absorption,volume_confirmation,cancel_to_trade_avg,hidden_rate_avg,hidden_volume_avg,fill_rate_avg,oddlot_rate_avg,oddlot_volume_avg,sweep_high,cutoff_date,outcome,forward_close,forward_pct_move,forward_bars,max_favourable,max_adverse
0_BUL_20210419_1430_236.14,0,2021-04-19 14:30:00,20210419_1430,BULLISH,1,236.14012614658904,236.14,56,active,2021-03-10_to_2021-03-10,242.42655476161414,236.14012614658904,235.56,237.43,1.8700000000000045,0.5500000000000114,2.319999999999993,4.218181818181718,1.3199999999999932,0.44999999999998863,True,False,10680303.0,False,-0.10520856905520096,True,0,False,40,0.0,fading,False,0,0,181817100.0,312276300.0,2.8258694503358686,1.0,2.7635578040403614,39.066362986,32.373483657,1.3753189870201024,92.177112984,55.642618435,,2021-04-19,LOSS,239.66,0.9392241923935433,8,3.5041907088404973,-0.3243061112749064
1_BUL_20210427_1030_236.14,1,2021-04-27 10:30:00,20210427_1030,BULLISH,1,236.14012614658904,236.14,55,active,2021-03-10_to_2021-03-10,242.42655476161414,236.14012614658904,235.03,237.96,2.930000000000007,1.9300000000000068,3.180000000000007,1.647668393782381,1.0,0.25,True,False,15546795.0,False,0.32152847322265216,False,0,False,48,0.0,fading,False,0,0,181817100.0,525874200.0,2.8258694503358686,1.0,2.7635578040403614,39.066362986,32.373483657,1.3753189870201024,92.177112984,55.642618435,,2021-04-27,LOSS,231.49,-2.7189443603967045,12,0.5715246259875547,-2.840813582114649
2_BUL_20210803_1530_236.14,2,2021-08-03 15:30:00,20210803_1530,BULLISH,1,236.14012614658904,236.14,39,active,2021-03-10_to_2021-03-10,242.42655476161414,236.14012614658904,236.04,236.62,0.5800000000000125,0.3100000000000023,0.8400000000000034,2.7096774193548296,0.27000000000001023,0.2599999999999909,True,True,3717261.0,False,-0.8916021225323357,False,0,True,146,0.0,stale,False,0,0,181817100.0,525874200.0,2.8258694503358686,1.0,2.7635578040403614,39.066362986,32.373483657,1.3753189870201024,92.177112984,55.642618435,,2021-08-03,LOSS,236.97,0.14791649057560405,7,2.117318907953677,-0.13101174879553812
3_BUL_20210809_0930_236.14,3,2021-08-09 09:30:00,20210809_0930,BULLISH,1,236.14012614658904,236.14,63,active,2021-03-10_to_2021-03-10,242.42655476161414,236.14012614658904,235.04,238.16,3.1200000000000045,1.4399999999999977,4.6299999999999955,3.21527777777778,1.6800000000000068,1.509999999999991,True,True,7894923.0,False,0.8443332473435311,True,0,False,152,0.0,stale,False,0,0,181817100.0,564633000.0,2.8258694503358686,1.0,2.7635578040403614,39.066362986,32.373483657,1.3753189870201024,92.177112984,55.642618435,,2021-08-09,LOSS,236.66,-0.6298286865972456,13,0.43248236479677576,-1.7635203224722829
4_BEA_20210813_0930_242.43,4,2021-08-13 09:30:00,20210813_0930,BEARISH,1,242.42655476161414,242.43,81,active,2021-03-10_to_2021-03-10,242.42655476161414,236.14012614658904,,240.01,3.2900000000000205,1.210000000000008,3.730000000000018,3.0826446280991684,0.4399999999999977,2.0800000000000125,False,True,20269170.0,True,3.1597817998401463,True,0,False,156,0.0,stale,False,0,0,181817100.0,614827500.0,2.8258694503358686,1.0,2.7635578040403614,39.066362986,32.373483657,1.3753189870201024,92.177112984,55.642618435,243.3,2021-08-13,LOSS,239.06,-0.3958168409649551,6,0.7624682304903896,-0.06666388900462339
5_BUL_20210824_1430_236.14,5,2021-08-24 14:30:00,20210824_1430,BULLISH,1,236.14012614658904,236.14,43,active,2021-03-10_to_2021-03-10,242.42655476161414,236.14012614658904,235.33,236.2,0.8699999999999761,0.44999999999998863,1.259999999999991,2.8000000000000504,0.4199999999999875,0.3900000000000148,True,True,3211593.0,False,-0.6012358012051559,True,0,False,167,0.0,stale,False,0,0,181817100.0,614827500.0,2.8258694503358686,1.0,2.7635578040403614,39.066362986,32.373483657,1.3753189870201024,92.177112984,55.642618435,,2021-08-24,LOSS,237.0,0.33869602032176604,7,1.181202370872151,-0.6392887383573205
6_BUL_20210825_0930_236.14,6,2021-08-25 09:30:00,20210825_0930,BULLISH,1,236.14012614658904,236.14,67,active,2021-03-10_to_2021-03-10,242.42655476161414,236.14012614658904,234.69,237.38,2.6899999999999977,1.829999999999984,3.640000000000015,1.9890710382513914,0.8600000000000136,0.950000000000017,True,True,12167769.0,False,1.2068320403250363,True,0,False,168,0.0,stale,False,0,0,181817100.0,614827500.0,2.8258694503358686,1.0,2.7635578040403614,39.066362986,32.373483657,1.3753189870201024,92.177112984,55.642618435,,2021-08-25,LOSS,233.72,-1.5418316623135886,13,0.6782374252253828,-2.0389249304911967
7_BUL_20210827_0930_236.14,7,2021-08-27 09:30:00,20210827_0930,BULLISH,1,236.14012614658904,236.14,84,active,2021-03-10_to_2021-03-10,242.42655476161414,236.14012614658904,234.03,236.61,2.5800000000000125,1.6400000000000148,3.960000000000008,2.4146341463414465,0.9399999999999977,1.3799999999999955,True,True,14249505.0,True,2.6409459977814276,True,0,False,170,0.0,stale,False,0,0,181817100.0,614827500.0,2.8258694503358686,1.0,2.7635578040403614,39.066362986,32.373483657,1.3753189870201024,92.177112984,55.642618435,,2021-08-27,LOSS,237.25,0.27048729977599695,6,0.7269346181480068,-0.1352436498880105
8_BEA_20211012_1230_270.05,8,2021-10-12 12:30:00,20211012_1230,BEARISH,3,270.0485255650112,270.05,58,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,,269.67,0.7799999999999727,0.27000000000003865,1.6200000000000045,5.999999999999158,0.5699999999999932,0.7799999999999727,True,True,4377570.0,False,-0.5717073028866495,False,-1,False,8,0.84,established,False,0,0,91449900.0,174708300.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,270.45,2021-10-12,WIN,270.42,0.27811769941039044,10,0.7379389624355727,-0.7898542663255073
9_BEA_20211013_0930_270.05,9,2021-10-13 09:30:00,20211013_0930,BEARISH,3,270.0485255650112,270.05,63,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,,269.3,1.2899999999999636,0.6399999999999864,1.9899999999999523,3.1093749999999916,0.6999999999999886,0.6499999999999773,True,True,12589644.0,False,1.0660580390270773,True,-1,False,9,0.7975,established,False,0,0,91449900.0,174708300.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,270.59,2021-10-13,LOSS,272.77,1.2885258076494506,13,0.11139992573338707,-1.529892313405126
10_BEA_20211013_1130_270.05,10,2021-10-13 11:30:00,20211013_1130,BEARISH,3,270.0485255650112,270.05,53,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,,269.76,0.8700000000000045,0.03000000000002956,1.4800000000000182,49.33333333328533,0.6100000000000136,0.839999999999975,True,True,4769640.0,False,-0.4164511293184446,False,-1,False,9,0.7975,established,False,0,0,91449900.0,174708300.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,270.63,2021-10-13,LOSS,272.77,1.115806642941871,11,0.28173190984578544,-1.3567615658363084
11_BUL_20220128_0930_267.93,11,2022-01-28 09:30:00,20220128_0930,BULLISH,3,267.9314549037388,267.93,95,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,264.0,274.73,10.730000000000018,2.4599999999999795,16.970000000000027,6.898373983739906,10.730000000000018,3.7800000000000296,True,True,50057724.0,True,2.4782168293493716,True,0,False,116,0.0,stale,False,0,0,91449900.0,174708300.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,,2022-01-28,LOSS,282.1,2.682633858697632,6,4.040330506315279,-1.332217085866132
12_BUL_20220222_1330_267.93,12,2022-02-22 13:30:00,20220222_1330,BULLISH,3,267.9314549037388,267.93,66,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,267.03,270.66,3.6300000000000523,1.4399999999999977,3.9600000000000364,2.7500000000000298,2.1900000000000546,0.3299999999999841,True,False,10362969.0,False,0.7980524883520257,True,0,False,141,0.0,stale,False,0,0,91449900.0,174708300.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,,2022-02-22,LOSS,254.66,-5.911475652109668,9,2.8670656912731807,-6.3326682923224755
13_BEA_20220225_0930_270.05,13,2022-02-25 09:30:00,20220225_0930,BEARISH,3,270.0485255650112,270.05,79,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,,265.23,7.939999999999998,4.509999999999991,12.370000000000005,2.742793791574286,4.430000000000007,3.430000000000007,True,True,27436671.0,False,1.1319550019991524,True,-1,False,144,0.0,stale,False,0,0,91449900.0,250776000.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,273.17,2022-02-25,WIN,269.94,1.775817215247136,6,0.9652000150812511,-2.4054594125853015
21_BEA_20220225_0930_267.28,21,2022-02-25 09:30:00,20220225_0930,BEARISH,8,267.2762908935547,267.28,79,active,2022-01-28_to_2022-01-28,267.2762908935547,260.73036193847656,,265.23,7.939999999999998,4.509999999999991,12.370000000000005,2.742793791574286,4.430000000000007,3.430000000000007,True,True,27436671.0,False,1.1319550019991524,True,-1,False,28,0.0,fading,False,0,0,134789100.0,289372800.0,10.545513657863477,1.0,2.485835244593693,43.359335586,37.533433063,2.0656853697482216,92.181888401,57.46744934,273.17,2022-02-25,WIN,269.94,1.775817215247136,6,0.9652000150812511,-2.4054594125853015
22_BEA_20220225_1230_267.28,22,2022-02-25 12:30:00,20220225_1230,BEARISH,8,267.2762908935547,267.28,64,active,2022-01-28_to_2022-01-28,267.2762908935547,260.73036193847656,,267.09,2.7100000000000364,1.4600000000000364,4.970000000000027,3.40410958904103,2.259999999999991,1.25,True,True,6866169.0,False,-0.7183950146389946,False,-1,False,28,0.0,fading,False,0,0,134789100.0,289372800.0,10.545513657863477,1.0,2.485835244593693,43.359335586,37.533433063,2.0656853697482216,92.181888401,57.46744934,269.8,2022-02-25,LOSS,269.94,1.0670560485229785,3,0.4567748698940322,-1.1681455689093583
23_BUL_20220308_0930_260.73,23,2022-03-08 09:30:00,20220308_0930,BULLISH,8,260.73036193847656,260.73,90,active,2022-01-28_to_2022-01-28,267.2762908935547,260.73036193847656,260.72,268.86,8.139999999999986,3.7100000000000364,10.829999999999984,2.919137466307245,4.42999999999995,2.6899999999999977,True,True,22147386.0,True,2.3833562597766877,True,0,False,39,0.0,fading,False,0,0,134789100.0,289372800.0,10.545513657863477,1.0,2.485835244593693,43.359335586,37.533433063,2.0656853697482216,92.181888401,57.46744934,,2022-03-08,LOSS,286.31,6.490366733616004,13,6.691214758610433,-0.8629026259019538
14_BUL_20220308_0930_267.93,14,2022-03-08 09:30:00,20220308_0930,BULLISH,3,267.9314549037388,267.93,90,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,260.72,268.86,8.139999999999986,3.7100000000000364,10.829999999999984,2.919137466307245,4.42999999999995,2.6899999999999977,True,True,22147386.0,True,2.3833562597766877,True,0,False,155,0.0,stale,False,0,0,91449900.0,323270100.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,,2022-03-08,LOSS,286.31,6.490366733616004,13,6.691214758610433,-0.8629026259019538
15_BUL_20220308_1030_267.93,15,2022-03-08 10:30:00,20220308_1030,BULLISH,3,267.9314549037388,267.93,62,active,2021-10-04_to_2021-10-04,270.0485255650112,267.9314549037388,266.54,271.25,4.7099999999999795,2.420000000000016,8.339999999999975,3.446280991735504,2.2899999999999636,3.6299999999999955,True,True,10866870.0,False,0.2391469830422832,False,0,False,155,0.0,stale,False,0,0,91449900.0,323270100.0,5.152409952185389,1.0,3.244072849655494,37.919543033,31.279903611,1.1043697772758847,87.52560653,48.302764015,,2022-03-08,LOSS,286.31,5.552073732718895,12,5.751152073732727,-0.8294930875576038
